GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project_Sprint_8_Docker_Jenkins,org.example,Account,2,80,2,18,1,15,2,10,0,2
Project_Sprint_8_Docker_Jenkins,org.example,Praktikum,4,21,1,1,1,7,2,2,1,2
